סמל מוסד,שם מוסד,פיקוח,שם מוטב,מעמד משפטי,חרדי,ממד,ישיבות,חרדי ללא ישיבות,ממד ללא ישיבות
616474,"שלהבות חב""""ד",חרדי,מ. מקומית גדרה,רשמי,1,0,0,1,0
760728,"שלהבות חב""""ד",חרדי,עמותת בית דוד,מוכר,1,0,0,1,0
611137,"ת""""ת אור מנחם",חרדי,עירית ערד,רשמי,1,0,0,1,0
612416,"ת""""ת אור מנחם","ממ""ד",עירית אשקלון,רשמי,0,1,0,0,1
725382,תומכי תמימים - ישיבה,"ממ""ד",תת חבד קירית מלאכי,מוכר,0,1,1,0,0
640367,תיכון בית חיה ורבקה,חרדי,יקיר באר שבע תורת ר' דוד,מוכר,1,0,0,1,0
440255,תיכון בית חנה,"ממ""ד",אג' מוסדות צאנז,מוכר,0,1,0,0,1
482307,"תיכון חב""""ד בנות","ממ""ד",עירית רחובות,רשמי,0,1,0,0,1
512293,"תלמוד תורה חב""""ד",חרדי,עירית תל אביב,רשמי,1,0,0,1,0
615989,"תלמוד תורה חב""""ד",חרדי,עירית טבריה,רשמי,1,0,0,1,0
213900,"תת חב""""ד","ממ""ד",עירית מגדל העמק,רשמי,0,1,0,0,1
,,,חרדי,ממד,,חרדי ללא ישיבות,ממד ללא ישיבות,,
סהכ,,,28,51,7,21,50,,
,,שיעור (%),35,65,,30,70,,
